Period,unknown,3G,2G,LTE
2024-01-08,851.9967161184177,56695.66088835057,269.8916826331988,1252596.5035459585
2024-01-09,855.0676959045231,55739.72125157714,257.71208216808736,1233060.422153268
2024-01-10,938.4086816366762,57011.646098351106,258.00674742273986,1276290.2081813663
2024-01-11,786.9476196058095,56465.4591425797,255.4901621248573,1258801.4723994024
2024-01-12,735.4264535484836,59395.781492071226,286.98775935266167,1314027.7117337007
2024-01-13,673.9823681125417,59310.37626969535,268.0707740839571,1350872.410292849
2024-01-14,629.2231011763215,60961.395831898786,279.538248417899,1393582.8455394693
2024-01-15,854.0155010102317,56965.02598276548,251.35654907952994,1273252.2792620584
2024-01-16,946.4855098975822,57633.8243314866,262.6497909547761,1312405.0838917028
2024-01-17,805.4736374961212,56764.883866215125,249.77043212763965,1295109.6712471358
2024-01-18,828.4536743080243,57762.38913174253,258.5552782099694,1311903.240554994
2024-01-19,780.0506892148405,57335.342131149024,262.86720536649227,1331055.873912638
2024-01-20,866.5000103646889,61932.36466187704,294.4003051696345,1463260.7473731972
2024-01-21,547.5979562727734,61916.85229393374,281.8531907685101,1466609.4812012743
2024-01-22,871.7011806834489,55151.74345300719,240.74654183723032,1291379.0698009823
2024-01-23,846.1617538286373,55530.343060988,243.56885891128331,1297876.8901800923
2024-01-24,851.5204620910808,57339.25354122557,263.1187355350703,1353847.2837426607
2024-01-25,683.1289379354566,56219.96982323006,269.59973904304206,1288430.3854321223
2024-01-26,746.6320990016684,55053.32840673905,269.47131223324686,1293371.6400277987
2024-01-27,610.7798999994993,57933.29051278345,288.1249953014776,1388626.8853780907
2024-01-28,543.7519857436419,58684.16679133568,277.3704793797806,1414520.3942899872
2024-01-29,7700.8590136049315,52666.31640235521,238.8129356559366,1256072.949729627
2024-01-30,1080.295800597407,52381.200884941965,240.14580316562206,1238062.3772778176
2024-01-31,835.5609273603186,51733.56710012071,227.1345538739115,1226588.721486982
2024-02-01,846.5845606746152,56255.90208246093,271.5080922981724,1337004.7273430414
2024-02-02,871.2554964935407,59867.22399841715,296.84557848703116,1424986.9765585754
2024-02-03,725.7242418872193,61791.13213599101,294.33205500617623,1498934.6858914662
2024-02-04,546.8421034067869,61676.784631324,298.5193796912208,1495156.3450974133
2024-02-05,810.4572934471071,57695.56770869158,293.9764412594959,1378420.113333473
2024-02-06,815.9230573475361,57892.43858428113,292.2300439244136,1347727.2123684268
2024-02-07,821.2054047929123,59711.63388835825,289.70046726986766,1397581.5325638
2024-02-08,730.1373472306877,59073.575242952444,284.3553624423221,1376611.2658888754
2024-02-09,742.962290911004,59751.80525557138,305.98405791353434,1392744.2074936442
2024-02-10,669.0277252783999,64338.07663017046,311.6911075245589,1500893.383766152
2024-02-11,564.0199311422184,62868.16294798534,290.61402829084545,1482904.54509262
2024-02-12,649.8624599464238,55127.554412762634,262.7327999928966,1275525.702687567
2024-02-13,682.9106498099864,54975.498828639276,272.19747205358,1262876.7368488759
2024-02-14,748.8541958956048,55168.062840858474,263.9461327698082,1285373.933602171
2024-02-15,686.3355690687895,53765.393195175566,244.14011496677995,1259794.870212227
2024-02-16,693.3848607158288,54983.61582164094,257.097647218965,1297745.2996757627
2024-02-17,558.8314774557948,59296.052660518326,286.02971351798624,1413510.3569784947
2024-02-18,480.9808611692861,59277.69314265717,288.1923658978194,1429707.087262515
2024-02-19,635.1163834612817,53498.23568586074,257.9905121875927,1265947.615474211
2024-02-20,669.0808681119233,55058.969201830216,252.67441919911653,1278480.304704411
2024-02-21,638.1016130698845,55412.426082872786,253.4056742331013,1287605.323830992
2024-02-22,600.5468679443002,52613.243657136336,239.84242910612375,1247622.412612429
2024-02-23,592.7850092668086,53976.55969598424,229.61240945849568,1232036.8242535088
2024-02-24,574.2819599239156,57288.627396848984,267.79450068064034,1346622.4977713823
2024-02-25,458.9517063377425,58850.59467897937,269.95557714253664,1423508.4596507624
2024-02-26,589.029765595682,51235.78113833163,222.6390485940501,1211181.0179642867
2024-02-27,625.4100703783333,52666.10936600901,245.33849056158215,1232099.5683930442
2024-02-28,584.7467662701383,52201.36038634181,234.08434437587857,1237404.4928038865
2024-02-29,591.7492449451238,54559.5959522957,271.8541098376736,1264173.900079634
2024-03-01,626.3028837451711,58131.62851691432,292.73481244407594,1379052.0165059436
2024-03-02,619.7553024757653,58198.56903903745,294.5821202173829,1405931.4146494213
2024-03-03,501.77641999628395,60562.19482823182,301.67979677859694,1470597.0998728275
2024-03-04,592.2181353550404,54837.112935757264,247.27359081897885,1311908.030730458
